                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7654,                 5.8591,                 4.4254,                0.00027,                   0.08,                0.00015,                  2e-05,                  4.803,                  6.448,                 4.1577,                0.00024,                0.00024,                0.00024
                      2,                 4.4092,                 5.0411,                 4.2209,                0.00027,                   0.08,                0.00015,                  2e-05,                 4.8141,                 6.4171,                 4.1611,             0.00049901,             0.00049901,             0.00049901
                      3,                 3.8641,                 4.3766,                 3.9425,                0.00013,                   0.04,                  7e-05,                  1e-05,                 4.8443,                 6.3159,                 4.1824,             0.00075699,             0.00075699,             0.00075699
                      4,                 3.5525,                 3.9145,                 3.6282,                0.00027,                   0.08,                 0.0002,                  5e-05,                 4.8312,                 6.0973,                 4.2719,              0.0010139,              0.0010139,              0.0010139
                      5,                 3.2038,                 3.4079,                 3.3281,                0.00013,                   0.04,                  8e-05,                  1e-05,                 4.8446,                 6.1674,                 4.3607,              0.0012699,              0.0012699,              0.0012699
                      6,                 2.9112,                 3.2436,                 3.1273,                0.00027,                   0.08,                0.00015,                  2e-05,                 4.7238,                 4.9544,                 4.1385,              0.0015248,              0.0015248,              0.0015248
                      7,                 2.8995,                 2.8818,                 2.9829,                0.00027,                   0.08,                0.00015,                  2e-05,                 3.8912,                 4.6297,                 4.4033,              0.0017786,              0.0017786,              0.0017786
                      8,                 2.7883,                 2.7524,                 2.9019,                0.32854,                0.09919,                0.09399,                0.02416,                 2.9971,                 3.4417,                 3.1151,              0.0019723,              0.0019723,              0.0019723
                      9,                 2.6983,                 2.8789,                 2.8187,                0.20371,                   0.24,                0.13332,                0.04638,                 2.5504,                 2.8802,                  2.869,              0.0019723,              0.0019723,              0.0019723
                     10,                 2.6143,                 2.6347,                 2.7522,                0.19876,                   0.08,                0.06581,                0.02317,                  2.451,                 3.2919,                 2.7401,              0.0019683,              0.0019683,              0.0019683
                     11,                 2.5117,                 2.5151,                 2.6554,                0.13674,                    0.2,                0.09293,                0.03069,                  2.371,                 3.1289,                 2.7387,              0.0019644,              0.0019644,              0.0019644
                     12,                 2.4447,                  2.414,                 2.6138,                0.10919,                    0.2,                0.13997,                0.05574,                 2.4229,                 2.8255,                 2.7315,              0.0019604,              0.0019604,              0.0019604
                     13,                 2.5044,                 2.3516,                  2.619,                0.11904,                   0.28,                0.11184,                0.04866,                 2.2311,                 2.5834,                  2.571,              0.0019564,              0.0019564,              0.0019564
